From,To,Label,Type,Tags,Description,BoundText,Group Focus,MapYN,Mission,NYC_region,OrgCity,OrgEmail,OrgName,OrgPhone,OrgState,OrgStreet1,OrgTwitter,OrgType,OrgTypeTxt,OrgWebSite,OrgZip,PctStewTxt,PopID,PopID _ALTER,Respondent PopID,Sector,Site Type,Stewardship Function,Version,YrFnd_Num,indegree,metrics::last
"BK MULTI-SERVICE COMMUNITY CENTER, CORP.",P.E.A.C.E. FOR PEACE INC,,,,,,,,,,,,,,,,,,,,,,,31045,31024,,,,2,,,
PARTNERSHIPS FOR PARKS,STOKED MENTORING,,,,,,,,,NYC,,,,,,,,,,,,,,20889,4878,,,,1,,,
HUNTERS POINT PARKS CONSERVANCY,Q PRECINCT 108,,,,,,,,,NYC,,,,,,,,,,,,,,20787,104420,,,,1,,,
WATERFRONT ALLIANCE,NYU,,,,,,,,,NYC,,,,,,,,,,,,,,4569,2037,,,,1,,,
ELDERT STREET COMMUNITY GARDEN,NYC CITY COUNCIL- RAFAEL ESPINAL,,,,,,,,,NYC,,,,,,,,,,,,,,20633,100632,,,,1,,,
PARTNERSHIPS FOR PARKS,NYC DOHMH,,,,,,,,,NYC,,,,,,,,,,,,,,7200,4878,,,,1,,,
JUNIPER PARK CIVIC ASSOC,NEWTOWN HISTORICAL SOCIETY,,,,,,,,,NYC,,,,,,,,,,,,,,105425,101040,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF JACKIE ROBINSON PARK,,,,,,,,,NYC,,,,,,,,,,,,,,20326,4878,,,,1,,,
5TH BK SCOUTS,JAMAICA BAY ROCKAWAY PARKS CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,104607,102226,,,,1,,,
COMMUNITY COUNSELING AND MEDIATION- GEORGIAS PLACE,CROWN HEIGHTS FARM SHARE,,,,,,,,,NYC,,,,,,,,,,,,,,103395,104060,,,,1,,,
RIVERKEEPER,CORNELL,,,,,,,,,region,,,,,,,,,,,,,,20214,1450,,,,1,,,
HACKENSACK RIVERKEEPER,NYNJ BAYKEEPER,,,,,,,,,region,,,,,,,,,,,,,,1374,2027,,,,1,,,
LOWER EAST SIDE PRESERVATION INITIATIVE,GREENWICH VILLAGE SOCIETY,,,,,,,,,NYC,,,,,,,,,,,,,,3677,104909,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF MT EDEN MALLS,,,,,,,,,NYC,,,,,,,,,,,,,,103957,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,BRONX IS BLOOMING,,,,,,,,,NYC,,,,,,,,,,,,,,100306,4878,,,,1,,,
BALDWIN LEARNING CENTER COALITION,BX CB7,,,,,,,,,NYC,,,,,,,,,,,,,,4248,20066,,,,1,,,
VARIED RESOURCES,CHILDREN AND NATURE NETWORK,,,,,,,,,NYC,,,,,,,,,,,,,,20174,107795,,,,1,,,
COLUMBUS AMSTERDAM BID,TREES NY,,,,,,,,,NYC,,,,,,,,,,,,,,1536,1106,,,,1,,,
PARTNERSHIPS FOR PARKS,VAN DUZER STREET CIVIC ASSOCIATION,,,,,,,,,NYC,,,,,,,,,,,,,,102027,4878,,,,1,,,
UNION STREET BLOCK AND CIVIC ASSOC,BK BOTANIC GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1067,107701,,,,1,,,
FARM SCHOOL NYC,BK GRANGE,,,,,,,,,NYC,,,,,,,,,,,,,,100339,100668,,,,1,,,
URBAN RESOURCES INITIATIVE,TRUMAN STREET CLEAN GREEN PROJECT,,,,,,,,,region,,,,,,,,,,,,,,20958,61343983,,,,1,,,
FRIENDS OF THE BONSAL PRESERVE,PASSAIC VALLEY SEWERAGE COMMISSION,,,,,,,,,region,,,,,,,,,,,,,,4885,20342,,,,1,,,
EAST OF HUDSON WATERSHED CORP,TOWN OF PATTERSON,,,,,,,,,region,,,,,,,,,,,,,,20941,453809317,,,,1,,,
PARTNERSHIPS FOR PARKS,DOCTORS FOR A HEALTHIER BX,,,,,,,,,NYC,,,,,,,,,,,,,,103521,4878,,,,1,,,
FARM SCHOOL NYC,UNITED COMMUNITY CENTERS,,,,,,,,,NYC,,,,,,,,,,,,,,5662,100668,,,,1,,,
PARTNERSHIPS FOR PARKS,LA ISLA BONITA,,,,,,,,,NYC,,,,,,,,,,,,,,4070,4878,,,,1,,,
FRIENDS OF + POOL,NYCHA,,,,,,,,,NYC,,,,,,,,,,,,,,4650,100046,,,,1,,,
GOWANUS CANAL CONSERVANCY,COMPASS CHARTER SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,103314,100831,,,,1,,,
PARTNERSHIPS FOR PARKS,ABC,,,,,,,,,NYC,,,,,,,,,,,,,,102277,4878,,,,1,,,
OCEAN BY THE PARK TREE CLUB,GROW NYC,,,,,,,,,NYC,,,,,,,,,,,,,,100882,101390,,,,1,,,
PARK SLOPE CIVIC COUNCIL,GOWANUS CANAL CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,100831,4863,,,,1,,,
FRIENDS OF CORLEARS HOOK PARK,NY4P,,,,,,,,,NYC,,,,,,,,,,,,,,1360,100747,,,,1,,,
GLEN OAKS VILLAGE OWNERS,QUEENS CIVIC CONGRESS,,,,,,,,,NYC,,,,,,,,,,,,,,101583,20363,,,,1,,,
RAMAPOUGH CONSERVANCY,NJ HIGHLANDS COALITION,,,,,,,,,region,,,,,,,,,,,,,,20587,454068649,,,,1,,,
PARTNERSHIPS FOR PARKS,STOREFRONT SCIENCE,,,,,,,,,NYC,,,,,,,,,,,,,,20892,4878,,,,1,,,
CONSERVATION CLUB,NYC OFFICE OF MAYOR,,,,,,,,,NYC,,,,,,,,,,,,,,8471,20212,,,,1,,,
EPA- NYNJ HARBOR ESTUARY PROGRAM,BX RIVER ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,1063,1375,,,,1,,,
NYSSBDC AT THE COLLEGE OF SI,SBA,,,,,,,,,NYC,,,,,,,,,,,,,,20845,105701,,,,1,,,
TEWKSBURY LAND TRUST A NJ NOT FOR PROFIT CORP,RARITAN HEADWATERS ASSOC,,,,,,,,,region,,,,,,,,,,,,,,221722944,223270128,,,,1,,,
GOWANUS DREDGERS CANOE,NORTH BK BOAT CLUB,,,,,,,,,NYC,,,,,,,,,,,,,,101315,1229,,,,1,,,
FOREST PARK TRUST,PS Q167 METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,20772,3393,,,,1,,,
PARTNERSHIPS FOR PARKS,BK CB6,,,,,,,,,NYC,,,,,,,,,,,,,,2642,4878,,,,1,,,
HARLEM ROSE GARDEN,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,1259,,,,1,,,
"MIDDLEBURY LAND TRUST, INC",LAND TRUST ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,8843,31025,,,,2,,,
PARTNERSHIPS FOR PARKS,BEACH SESSIONS,,,,,,,,,NYC,,,,,,,,,,,,,,102614,4878,,,,1,,,
NORTHEAST EARTH COALITION,MONTCLAIR COMMUNITY WILDLIFE HABITAT PROJECT,,,,,,,,,region,,,,,,,,,,,,,,20545,811561104,,,,1,,,
RICHMOND HILL HISTORICAL SOCIETY,NYC CITY COUNCIL- ELIZABETH CROWLEY,,,,,,,,,NYC,,,,,,,,,,,,,,20621,1446,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF TIBBETT'S TAIL,,,,,,,,,NYC,,,,,,,,,,,,,,100771,4878,,,,1,,,
LOWER MANHATTAN CULTURAL COUNCIL,LOWER EAST SIDE ECOLOGY CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,1313,101119,,,,1,,,
6TH ST COMMUNITY CENTER,EL JARDIN DEL PARAISO,,,,,,,,,NYC,,,,,,,,,,,,,,1158,5317,,,,1,,,
EAST RIVER CREW,ROCKING THE BOAT,,,,,,,,,NYC,,,,,,,,,,,,,,1458,100529,,,,1,,,
PROSPECT HEIGHTS STREET TREE TASK FORCE OF BK,ST JOHNS BLOCK,,,,,,,,,NYC,,,,,,,,,,,,,,5384,101565,,,,1,,,
PIONEER STREET STEWARDS,PIONEER WORKS,,,,,,,,,NYC,,,,,,,,,,,,,,101530,106352,,,,1,,,
WATERFRONT ALLIANCE,BILLION OYSTER PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,100250,2037,,,,1,,,
PARTNERSHIPS FOR PARKS,NY4P,,,,,,,,,NYC,,,,,,,,,,,,,,1360,4878,,,,1,,,
FRIENDS OF DOWNTOWN PARKS NYC/ GREEN BELOW 14,NYC OFFICE OF BORO PRES- M,,,,,,,,,NYC,,,,,,,,,,,,,,7745,461974668,,,,1,,,
CORNELL COOPERATIVE EXTENSION- PUTNAM COUNTY,PUTNAM COUNTY HEALTH DEPT,,,,,,,,,region,,,,,,,,,,,,,,20784,116081423,,,,1,,,
AMERICAN SOCIETY OF LANDSCAPE ARCHITECTS- NY,TRUST FOR PUBLIC LAND,,,,,,,,,NYC,,,,,,,,,,,,,,1541,102518,,,,1,,,
SCULPTORS ALLIANCE,LOWER MANHATTAN CULTURAL COUNCIL,,,,,,,,,NYC,,,,,,,,,,,,,,101119,106882,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF ST CATHERINE'S PARK,,,,,,,,,NYC,,,,,,,,,,,,,,3508,4878,,,,1,,,
CHILDRENS GARDEN AT CAMPOS,CHILDRENS WORKSHOP SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,100428,103108,,,,1,,,
FRIENDS OF SHERMAN CREEK CONSERVANCY,HARLEM RIVER WORKING GROUP,,,,,,,,,NYC,,,,,,,,,,,,,,100906,100763,,,,1,,,
GOWANUS CANAL CONSERVANCY,GOWANUS DREDGERS CANOE,,,,,,,,,NYC,,,,,,,,,,,,,,1229,100831,,,,1,,,
SAW MILL RIVER AUDUBON,FEDERATED CONSERVATIONISTS OF WESTCHESTER COUNTY,,,,,,,,,region,,,,,,,,,,,,,,20279,136161411,,,,1,,,
PARTNERSHIPS FOR PARKS,BEST CLASS INC,,,,,,,,,NYC,,,,,,,,,,,,,,20081,4878,,,,1,,,
TEANECK CREEK CONSERVANCY,FLAT ROCK BROOK,,,,,,,,,region,,,,,,,,,,,,,,237323476,5499,,,,1,,,
PARTNERSHIPS FOR PARKS,MORNINGSIDE BARC (BUILD A RUN COALITION),,,,,,,,,NYC,,,,,,,,,,,,,,4387,4878,,,,1,,,
WOODHAVEN CULTURAL AND HISTORICAL SOCIETY,BOY SCOUTS OF AMERICA,,,,,,,,,NYC,,,,,,,,,,,,,,2526,1580,,,,1,,,
GOWANUS CANAL CONSERVANCY,WORKING HARBOR COMMITTEE,,,,,,,,,NYC,,,,,,,,,,,,,,107997,100831,,,,1,,,
TROUT UNLIMITED,BX CHILDRENS MUSEUM,,,,,,,,,NYC,,,,,,,,,,,,,,100294,5620,,,,1,,,
NYBG,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,1372,,,,1,,,
NORTHEAST EARTH COALITION,NATIONAL WILDLIFE FEDERATION,,,,,,,,,region,,,,,,,,,,,,,,101244,811561104,,,,1,,,
MADE IN BROWNSVILLE,BROWNSVILLE COMMUNITY JUSTICE CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,100354,104967,,,,1,,,
PARTNERSHIPS FOR PARKS,HARLEM RIVER COMMUNITY ROWING,,,,,,,,,NYC,,,,,,,,,,,,,,100905,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,HEALTH FOR YOUTHS,,,,,,,,,NYC,,,,,,,,,,,,,,100915,4878,,,,1,,,
FRIENDS OF HOPEWELL VALLEY OPEN SPACE,MERCER COUNTY PARK COMMISSION,,,,,,,,,region,,,,,,,,,,,,,,20522,20321,,,,1,,,
PARTNERSHIPS FOR PARKS,LES SKILLS AND DRILLS,,,,,,,,,NYC,,,,,,,,,,,,,,104832,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,EAGLE AND CONDOR COMMUNITY CTR,,,,,,,,,NYC,,,,,,,,,,,,,,103581,4878,,,,1,,,
FRIENDS OF STRYKER PARK,NYC DOT,,,,,,,,,NYC,,,,,,,,,,,,,,4528,103973,,,,1,,,
RIVERKEEPER,COALITION AGAINST PILGRIM PIPELINE,,,,,,,,,region,,,,,,,,,,,,,,20201,1450,,,,1,,,
PARKS4US,MAPLE ST COMMUNITY GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,101151,106273,,,,1,,,
WATERFRONT ALLIANCE,BIKE AND ROLL NYC,,,,,,,,,NYC,,,,,,,,,,,,,,102691,2037,,,,1,,,
WATERFRONT ALLIANCE,ATLANTIC YACHTING,,,,,,,,,NYC,,,,,,,,,,,,,,102546,2037,,,,1,,,
RIVERVIEW NEIGHBORHOOD ASSOC,FARMS IN THE HEIGHTS,,,,,,,,,region,,,,,,,,,,,,,,20277,223531910,,,,1,,,
NATURE CONSERVANCY- NYC,AUDUBON NYC,,,,,,,,,NYC,,,,,,,,,,,,,,1352,1527,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,NYS OFFICE OF ASSEMBLY- MICHELE TITUS,,,,,,,,,NYC,,,,,,,,,,,,,,20703,1457,,,,1,,,
KENT LAND TRUST,LITCHFIELD HILLS GREENPRINT COLLABORATIVE,,,,,,,,,region,,,,,,,,,,,,,,20483,61257251,,,,1,,,
BAYSHORE REGIONAL WATERSHED COUNCIL,MIDDLETOWN ENVIRONMENTAL COMMISSION,,,,,,,,,NYC,,,,,,,,,,,,,,20528,2005,,,,1,,,
SAINT HELEN ROMAN CATHOLIC CHURCH,NYC DOE,,,,,,,,,,,,,,,,,,,,,,,4645,31017,,,,2,,,
PARTNERSHIPS FOR PARKS,CANAL PARK CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,100374,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,GREEN EARTH URBAN GARDENS,,,,,,,,,NYC,,,,,,,,,,,,,,100857,4878,,,,1,,,
PROTECTORS OF PINE OAKS,NATURAL RESOURCES PROTECTIVE ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,1338,1422,,,,1,,,
PROSPECT HEIGHTS STREET TREE TASK FORCE OF BK,PARK PLACE BLOCK,,,,,,,,,NYC,,,,,,,,,,,,,,101496,101565,,,,1,,,
MUSEUM AT ELDRIDGE STREET,MUSEUM OF CHINESE IN AMERICA,,,,,,,,,NYC,,,,,,,,,,,,,,105219,101226,,,,1,,,
HAMPTON STERLING VIRGINIA PLACE AND KINGSTON AVE BLOCK,PARK PLACE IMPROVEMENT BLOCK ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,101497,104236,,,,1,,,
WEST 132ND ST BLOCK,CITIZENS,,,,,,,,,NYC,,,,,,,,,,,,,,2848,1566,,,,1,,,
HUDSON RIVER COMMUNITY SAILING,HUDSON RIVER PARK TRUST,,,,,,,,,NYC,,,,,,,,,,,,,,1273,100967,,,,1,,,
GUILD FOR EXCEPTIONAL CHILDREN,OWLS HEAD PARK HORTICULTURAL GROUP,,,,,,,,,NYC,,,,,,,,,,,,,,101418,3688,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,GRAYBEARDS,,,,,,,,,NYC,,,,,,,,,,,,,,1233,1457,,,,1,,,
URBAN RESOURCES INITIATIVE,BRADLEY ST TREE PLANTERS,,,,,,,,,region,,,,,,,,,,,,,,20119,61343983,,,,1,,,
PARTNERSHIPS FOR PARKS,KBK9 KIPS BAY DOG RUN,,,,,,,,,NYC,,,,,,,,,,,,,,20453,4878,,,,1,,,
WAVE HILL,PROSPECT PARK ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,1421,1562,,,,1,,,
PARTNERSHIPS FOR PARKS,OLD STONE HOUSE,,,,,,,,,NYC,,,,,,,,,,,,,,1387,4878,,,,1,,,
FRIENDS OF DOWNTOWN PARKS NYC/ GREEN BELOW 14,FRIENDS OF CORLEARS HOOK PARK,,,,,,,,,NYC,,,,,,,,,,,,,,100747,461974668,,,,1,,,
LOWER RARITAN WATERSHED PARTNERSHIP,HIGHLAND PARK ECOLOGY AND ENVIRONMENTAL GROUP,,,,,,,,,NYC,,,,,,,,,,,,,,20407,104920,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF DESALVIO PLAYGROUND,,,,,,,,,NYC,,,,,,,,,,,,,,20309,4878,,,,1,,,
WEST 80S NEIGHBORHOOD ASSOC,NYS OFFICE OF ASSEMBLY- DANIEL ODONNELL,,,,,,,,,NYC,,,,,,,,,,,,,,20693,102069,,,,1,,,
KINGSTON LAND TRUST,WOODSTOCK LAND CONSERVANCY INC GAY LEONHARDT,,,,,,,,,,,,,,,,,,,,,,,222950482,31034,,,,2,,,
ROCKAWAY WATERFRONT ALLIANCE,GATEWAY BIKE AND BOATHOUSE,,,,,,,,,NYC,,,,,,,,,,,,,,100798,1457,,,,1,,,
UNDERWATER NY,WORKS ON WATER,,,,,,,,,NYC,,,,,,,,,,,,,,21039,105430,,,,1,,,
PARTNERSHIPS FOR PARKS,ARCHCARE TIMEBANK,,,,,,,,,NYC,,,,,,,,,,,,,,102469,4878,,,,1,,,
NY OPEN WATER,RIVERKEEPER,,,,,,,,,NYC,,,,,,,,,,,,,,1450,20601,,,,1,,,
EL CENTRO DEL INMIGRANTE,YMCA,,,,,,,,,NYC,,,,,,,,,,,,,,5909,100624,,,,1,,,
SANER LIVING NEIGHBORHOOD ASSOCIATION,TA,,,,,,,,,NYC,,,,,,,,,,,,,,1535,106849,,,,1,,,
GOWANUS DREDGERS CANOE,PS BK 58,,,,,,,,,NYC,,,,,,,,,,,,,,105880,1229,,,,1,,,
NYSSBDC AT THE COLLEGE OF SI,CHAMBER OF COMMERCE- SI,,,,,,,,,NYC,,,,,,,,,,,,,,8927,105701,,,,1,,,
PASSAIC RIVER BOAT CLUB,NYNJ BAYKEEPER,,,,,,,,,NYC,,,,,,,,,,,,,,1374,101508,,,,1,,,
PARTNERSHIPS FOR PARKS,BENNETT PARK COMMUNITY ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,102650,4878,,,,1,,,
AMERICAN LITTORAL SOCIETY,NYC DEP,,,,,,,,,NYC,,,,,,,,,,,,,,4642,2003,,,,1,,,
ASTORIA PARK ALLIANCE,WATERFRONT ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,2037,100190,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,HUDSON RIVER SLOOP CLEARWATER,,,,,,,,,NYC,,,,,,,,,,,,,,100969,1313,,,,1,,,
BRYANT HILL COMMUNITY GARDEN,THE POINT,,,,,,,,,NYC,,,,,,,,,,,,,,5551,100359,,,,1,,,
Q COMMUNITY HOUSE,POMONOK RESIDENT GREEN COMMITTEE,,,,,,,,,NYC,,,,,,,,,,,,,,101363,3383,,,,1,,,
WARREN ST MARKS COMMUNITY GARDEN,CITIZENS,,,,,,,,,NYC,,,,,,,,,,,,,,2848,5772,,,,1,,,
NY LEAGUE OF CONSERVATION VOTERS,TREES NY,,,,,,,,,NYC,,,,,,,,,,,,,,1536,4550,,,,1,,,
PS 41 GREENWICH VILLAGE SCHOOL,NYC DEP,,,,,,,,,NYC,,,,,,,,,,,,,,4642,106164,,,,1,,,
PARTNERSHIPS FOR PARKS,FIRST ST BLOCK ASSN,,,,,,,,,NYC,,,,,,,,,,,,,,3352,4878,,,,1,,,
WATERFRONT ALLIANCE,BARGE PARK PALS,,,,,,,,,NYC,,,,,,,,,,,,,,20069,2037,,,,1,,,
EAST RIVER CREW,UPPER GREEN SIDE,,,,,,,,,NYC,,,,,,,,,,,,,,102002,100529,,,,1,,,
"MIDDLEBURY LAND TRUST, INC",LAKE QUASSAPAUG ASSOCIATION INC,,,,,,,,,,,,,,,,,,,,,,,462210426,31025,,,,2,,,
ROCK N RENEW,350.ORG,,,,,,,,,NYC,,,,,,,,,,,,,,59113,106762,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF PIER 35,,,,,,,,,NYC,,,,,,,,,,,,,,100759,4878,,,,1,,,
RANDALLS ISLAND PARK ALLIANCE,RIVERKEEPER,,,,,,,,,NYC,,,,,,,,,,,,,,1450,101599,,,,1,,,
WATERFRONT ALLIANCE,CLEAN WATER FUND,,,,,,,,,NYC,,,,,,,,,,,,,,20199,2037,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,NYS OFFICE OF ASSEMBLY- JO ANNE SIMON,,,,,,,,,NYC,,,,,,,,,,,,,,20695,1313,,,,1,,,
CITIZENS AGAINST GRAFFITI EVERYWHERE,Q COALITION FOR PARKS AND GREEN SPACES,,,,,,,,,NYC,,,,,,,,,,,,,,1429,1091,,,,1,,,
CITY PARKS FOUNDATION GREEN GIRLS,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,104167,,,,1,,,
THE POINT,BX RIVER ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,1063,5551,,,,1,,,
IS K278 MARINE PARK JHS,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,1323,,,,1,,,
FLATBUSH DEVELOPMENT CORPORATION,BK BOTANIC GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1067,100693,,,,1,,,
WATERFRONT ALLIANCE,BK GRANGE,,,,,,,,,NYC,,,,,,,,,,,,,,100339,2037,,,,1,,,
BROOKLYN QUEENS LAND TRUST,BK BOTANIC GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1067,1075,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,ROCKAWAY BEACH NEIGHBORHOOD ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,20821,1457,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,SWIM COALITION,,,,,,,,,NYC,,,,,,,,,,,,,,2065,100500,,,,1,,,
DAVIDSON AVE COMMUNITY GARDEN,GREEN GUERILLAS,,,,,,,,,NYC,,,,,,,,,,,,,,1236,2987,,,,1,,,
BERGEN SWAN,AUDUBON- BERGEN COUNTY,,,,,,,,,region,,,,,,,,,,,,,,20061,222957403,,,,1,,,
PARTNERSHIPS FOR PARKS,SINGING WINDS,,,,,,,,,NYC,,,,,,,,,,,,,,107522,4878,,,,1,,,
POCONO WILDLIFE REHABILITATION AND EDUCATION CENTER,BRODHEADS WATERSHED ASSOC,,,,,,,,,region,,,,,,,,,,,,,,232564522,232524389,,,,1,,,
OCEAN BY THE PARK TREE CLUB,CITIZENS,,,,,,,,,NYC,,,,,,,,,,,,,,2848,101390,,,,1,,,
URBAN RESOURCES INITIATIVE,OYSTER POINT,,,,,,,,,region,,,,,,,,,,,,,,20728,61343983,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,MFINDA KALUNGA GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1327,1313,,,,1,,,
FRIENDS OF THE HIGH LINE,PUBLIC DESIGN COMMISSION,,,,,,,,,NYC,,,,,,,,,,,,,,20780,1208,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF JEFFERSON MARKET GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,3980,4878,,,,1,,,
PACIFIC STREET BK BEARS COMMUNITY GARDEN,BANG LAND TRUST,,,,,,,,,NYC,,,,,,,,,,,,,,102577,1066,,,,1,,,
TEENS FOR FOOD JUSTICE,WELLNESS IN THE SCHOOLS,,,,,,,,,NYC,,,,,,,,,,,,,,107892,107318,,,,1,,,
NYBG,MARY MITCHELL FAMILY AND YOUTH CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,1526,1372,,,,1,,,
KELLY STREET GARDEN,NYRP,,,,,,,,,NYC,,,,,,,,,,,,,,1356,101044,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,GIRL SCOUTS OF AMERICA,,,,,,,,,NYC,,,,,,,,,,,,,,3596,100500,,,,1,,,
PARTNERSHIPS FOR PARKS,ISLA,,,,,,,,,NYC,,,,,,,,,,,,,,104766,4878,,,,1,,,
TOWN SQUARE,NYC OFFICE OF BORO PRES- BK,,,,,,,,,NYC,,,,,,,,,,,,,,2632,5594,,,,1,,,
GREEN CITY FORCE,EAST NEW YORK FARMS,,,,,,,,,NYC,,,,,,,,,,,,,,1151,100855,,,,1,,,
CORNELL COOPERATIVE EXTENSION- ULSTER COUNTY,CITY OF KINGSTON,,,,,,,,,region,,,,,,,,,,,,,,20188,146036893,,,,1,,,
CORNUCOPIA SOCIETY,CITIZENS AGAINST GRAFFITI EVERYWHERE,,,,,,,,,NYC,,,,,,,,,,,,,,1091,5519,,,,1,,,
HUTCHINSON RIVER RESTORATION PROJECT,CITIZENS,,,,,,,,,NYC,,,,,,,,,,,,,,2848,100979,,,,1,,,
EAST OF HUDSON WATERSHED CORP,PUTNAM COUNTY,,,,,,,,,region,,,,,,,,,,,,,,20783,453809317,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,RIVERHEAD FOUNDATION,,,,,,,,,NYC,,,,,,,,,,,,,,2058,1457,,,,1,,,
MASTERS OF SUCCESSION COLLECTIVE,SEEDBALL,,,,,,,,,NYC,,,,,,,,,,,,,,106905,101162,,,,1,,,
APPALACHIAN MOUNTAIN CLUB,STUDENT CONSERVATION ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,101836,2266,,,,1,,,
WAVE HILL,NA,,,,,,,,,NYC,,,,,,,,,,,,,,20557,1562,,,,1,,,
SCIENCE AND RESILIENCE INSTITUTE AT JAMAICA BAY,NPS,,,,,,,,,NYC,,,,,,,,,,,,,,4455,101704,,,,1,,,
OXFORD GRANGE #194 PATRONS OF HUSBANDRY,CT FARMLAND TRUST,,,,,,,,,,,,,,,,,,,,,,,20220,31014,,,,2,,,
FRIENDS OF SHERMAN CREEK CONSERVANCY,Q CB12,,,,,,,,,NYC,,,,,,,,,,,,,,5063,100763,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,PS BK 303,,,,,,,,,NYC,,,,,,,,,,,,,,20752,100500,,,,1,,,
FRIENDS OF BROWER PARK,NYC CITY COUNCIL- ROBERT CORNEGY,,,,,,,,,NYC,,,,,,,,,,,,,,20634,100741,,,,1,,,
PARTNERSHIPS FOR PARKS,EAST RIVER PARK COALITION,,,,,,,,,NYC,,,,,,,,,,,,,,100604,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,OPEN SPACE ALLIANCE FOR N BK,,,,,,,,,NYC,,,,,,,,,,,,,,1388,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF BLUE HERON PARK,,,,,,,,,NYC,,,,,,,,,,,,,,3440,4878,,,,1,,,
SWIM STRONG FOUNDATION,NYFD,,,,,,,,,NYC,,,,,,,,,,,,,,20680,107278,,,,1,,,
POMONOK RESIDENT GREEN COMMITTEE,EARTH MATTER,,,,,,,,,NYC,,,,,,,,,,,,,,100580,101363,,,,1,,,
WATERFRONT ALLIANCE,CHELSEA PIERS,,,,,,,,,NYC,,,,,,,,,,,,,,7750,2037,,,,1,,,
TOWN SQUARE,NYC CITY COUNCIL- ANTONIO REYNOSO,,,,,,,,,NYC,,,,,,,,,,,,,,20613,5594,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,PS Q 264,,,,,,,,,NYC,,,,,,,,,,,,,,20768,1457,,,,1,,,
SEEDBALL,PS M 166,,,,,,,,,NYC,,,,,,,,,,,,,,101434,106905,,,,1,,,
PARTNERSHIPS FOR PARKS,WILSON FRIENDS OF E RIVER PLAYGROUND,,,,,,,,,NYC,,,,,,,,,,,,,,107956,4878,,,,1,,,
SWIM STRONG FOUNDATION,SURFRIDER,,,,,,,,,NYC,,,,,,,,,,,,,,5481,107278,,,,1,,,
NY LEAGUE OF CONSERVATION VOTERS,NYPIRG,,,,,,,,,NYC,,,,,,,,,,,,,,4553,4550,,,,1,,,
