Label,Type,Tags,Description,BoundText,Group Focus,MapYN,Mission,NYC_region,OrgCity,OrgEmail,OrgName,OrgPhone,OrgState,OrgStreet1,OrgTwitter,OrgType,OrgTypeTxt,OrgWebSite,OrgZip,PctStewTxt,PopID,PopID _ALTER,Respondent PopID,Sector,Site Type,Stewardship Function,Version,YrFnd_Num,indegree,metrics::last
PS BK 728- LIBERATION DIPLIOMA PLUS HS,,,,,,,,,,,,,,,,,,,,,20754,,,School,,,,,1,1
BLOCKWATCH 303,,,,,,,,,,,,,,,,,,,,,20104,,,Civic,,,,,1,1
NYC CITY COUNCIL- ROBERT CORNEGY,,,,,,,,,,,,,,,,,,,,,20634,,,Government,,,,,1,1
NYPIRG,,,,,,,,,,,,,,,,,,,,,4553,,,Civic,,,,,1,1
MANHATTAN COMMUNITY BOATHOUSE,,,,,,,,,,,,,,,,,,,,,101143,,,Civic,,,,,2,2
CERUPOST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
NATIONAL LOW INCOME HOUSING COALITION,,,,,,,,,,,,,,,,,,,,,20562,,,Civic,,,,,1,1
IT TAKES A HOOD,,,,,,,,,,,,,,,,,,,,,104571,,,Civic,,,,,1,1
MONROE COUNTY,,,,,,,,,,,,,,,,,,,,,31098,,,Government,,,,,1,1
PANERA BREAD,,,,,,,,,,,,,,,,,,,,,20731,,,Business,,,,,1,1
CAAAV,,,,,,,,,,,,,,,,,,,,,100367,,,Civic,,,,,2,2
GREEN HORIZONS,,,,,,,,,,,,,,,,,,,,,104169,,,Civic,,,,,2,2
DOT,,,,,,,,,,,,,,,,,,,,,4529,,,Government,,,,,2,2
FRIENDS OF THE LOTT HOUSE,,,,,,,,,,,,,,,,,,,,,20343,,,Civic,,,,,1,1
TWO BRIDGES NEIGHBORHOOD COUNCIL,,,,,,,,,,,,,,,,,,,,,5634,,,Civic,,,,,3,3
BARDO,,,,,,,,,,,,,,,,,,,,,20068,,,Civic,,,,,1,1
VITO MARCANTONIO COMMUNITY PEACE GARDEN,,,,"In the PS50, Vito Marcantonio School, in East Harlem, New York City on 101st Street, between 1st Ave. and the FDR/East River.",Education,Yes,To learn peace by growing plants. We've brought a dual level soil based and hydroponic greenhouse to a school in a community that is otherwise nature and whole food deprived.,,New York,pclarke@schools.nyc.gov,Vito Marcantonio Community Peace Garden,212-860-5976,NY,433 E 100th St.,,4,School-affiliated group,,10029,20-39%,107824,,,Civic,Community Garden,MANAGE,1,2015,0,0
FATHER JOHN J MURRAY KNIGHTS OF AMER MARTYRS CHURCH,,,,,,,,,,,,,,,,,,,,,107411,,,Civic,,,,,1,1
NYC CITY COUNCIL- ROSIE MENDEZ,,,,,,,,,,,,,,,,,,,,,8182,,,Civic,,,,,1,1
CITY BEACH NYC,,,,,,,,,,,,,,,,,,,,,20186,,,Civic,,,,,1,1
HERE COMES SOLAR,,,,,,,,,,,,,,,,,,,,,20401,,,Civic,,,,,1,1
UNIVERSITY OF VALENCIA,,,,,,,,,,,,,,,,,,,,,20969,,,School,,,,,1,1
PROPHECY GARDENS,,,,"ENY
Community Garden",Community improvement and capacity building,Yes,To Inspire growth and contribute to the well being of our community.,,Brooklyn,,Prophecy Gardens,,NY,4506 Avenue K,,3,Group without 501(c)(3) or 501(c)(4) status,,11234,80-100%,101563,,,Civic,Community Garden,MANAGE,1,,1,1
GREEN CITY FORCE,,,,"Red Hook Houses Farm in Red Hook, Brooklyn at the Red Hook Houses NYCHA development on Wolcott St. between Dwight and Richards
Howard Houses Farm in Brownsville, Brooklyn at the center of the Howard Houses NYCHA development near Glenmore Ave. and Watkins",Environment,Yes,"Green City ForceΓÇÖs (GCF) mission is to break the cycle of poverty for urban young adults, preparing them to succeed in their chosen careers by engaging them in service, training and work experiences related to the clean energy economy. In doing so, GCF",,Brooklyn,info@greencityforce.org,Green City Force,646-681-4700,NY,"630 Flushing Ave., 8th Fl.",@GreenCityForce,1,501(c)(3) (or has applied),http://greencityforce.org/,11206,80-100%,100855,,,Civic,Urban Farm,MANAGE,1,2009,2,2
PENNFUTURE,,,,,,,,,,,,,,,,,,,,,31081,,,Civic,,,,,1,1
COOPER HOUSES,,,,,,,,,,,,,,,,,,,,,3009,,,Civic,,,,,1,1
HOLLIS LOCAL DEV COMMITTEE,,,,,,,,,,,,,,,,,,,,,100945,,,Civic,,,,,1,1
KOREAN EVANGELICAL CHURCH OF NEW COVENANT,,,,,,,,,,,,,,,,,,,,,20465,,,Civic,,,,,1,1
HONEYBEE CONSERVANCY,,,,,,,,,,,,,,,,,,,,,107441,,,Civic,,,,,1,1
SAINT DAVIDS SCHOOL,,,,,,,,,,,,,,,,,,,,,20838,,,School,,,,,1,1
AUDUBON- BERGEN COUNTY,,,,,,,,,,,,,,,,,,,,,20061,,,Civic,,,,,1,1
SOUTH ST SEAPORT MUSEUM,,,,,,,,,,,,,,,,,,,,,5358,,,Civic,,,,,1,1
GOWANUS BY DESIGN,,,,Gowanus Canal Neighborhood,Environment,Yes,"Our goal is to design a sustainable and dynamic mixed-use community that reconnects the surrounding urban texture, promotes truly coordinated development, and creates a 21st century model for urban centers struggling to heal the environmental scars wroug",,New York,info@gowanusbydesign.org,Gowanus by Design,917-923-5774,NY,"594 Broadway, Suite 506",@GowanusbyDesign,1,501(c)(3) (or has applied),,10012,1-19%,104128,,,Civic,Watershed / Sewershed,ADVOCATE,1,2009,1,1
BIOBUS,,,,"In terms of education, our mobile lab operates within 50 miles of the city and we visit over 100 schools every year.  We also run afterschool programs and summer camp from two BioBases throughout the year. One within the Lower East Side Girl's Club and o",Research in science and/or technology,Yes,"Founded in 2008, BioBus works towards a future in which all people have experienced the power and beauty of making a scientific discovery. We cultivate this vision by creating immersive laboratory environments in which scientists join students and the ge",,New York,,"BioBus, Inc.",,NY,"1361 Amsterdam Avenue, Suite 340",@biobus,1,501(c)(3) (or has applied),http://biobus.org,10027,20-39%,100252,,,Civic,Waterfront / Beach / Shoreline,EDUCATE,1,2008,1,1
FEMA,,,,,,,,,,,,,,,,,,,,,20280,,,Government,,,,,1,1
BIOBAT,,,,,,,,,,,,,,,,,,,,,100251,,,Civic,,,,,1,1
CLEAN CHOICE ENERGY,,,,,,,,,,,,,,,,,,,,,20195,,,Civic,,,,,1,1
BK URBAN GARDEN SCHOOL,,,,,,,,,,,,,,,,,,,,,100349,,,School,,,,,2,2
WE DESIGN,,,,,,,,,,,,,,,,,,,,,21016,,,Business,,,,,1,1
FRIENDS OF CITY POINT,,,,,,,,,,,,,,,,,,,,,20306,,,Civic,,,,,1,1
REBUILDING TOGETHER NYC,,,,5 boroughs of NYC,Community improvement and capacity building,Yes,Together we transform the lives of low-income homeowners by improving the safety and health of their homes and revitalizing our communities.,,Brooklyn,info@rebuildingtogethernyc.org,Rebuilding Together NYC,718-488-8840,NY,126A 10th Street,nyc_rt,1,501(c)(3) (or has applied),http://rebuildingtogethernyc.org,11215,20-39%,101606,,,Civic,Community Garden,MANAGE,1,1998,0,0
NORTH SHORE WATERFRONT CONSERVANCY OF SI,,,,"The North Shore Waterfront Conservancy of Staten Island, Inc., (NSWC or NSWCSI) primarily works in the Environmental Justice and Waterfront Communities of Staten Island's North Shore. The areas covered are from Rosebank to Graniteville, Staten Island. Th",Toxics / pollution related,Yes,"The North Shore Waterfront Conservancy of Staten Island, Inc.ΓÇÖs (NSWC or NSWCSI).

NSWC is a community based grass roots organization. Our mission is to advance and promote increased safe and sustainable public access to the waterfront. To build health",,Staten Island,nswcsi@nswcsi.org,"North Shore Waterfront Conservancy of Staten Island, Inc.",,NY,P.O. Box 140502,,1,501(c)(3) (or has applied),http://sinorthshoreresilience.org,10314,80-100%,1366,,,Civic,,PARTICIPATE/PARTNER/SUPPORT,1,2000,1,1
KAYAK SI,,,,a section of Conference House Park; 850 Page Ave.,Recreation and sports (including birding and fishing),Yes,"We, the volunteers of Kayak Staten Island, empower people to experience our parks, waterways and landscape from the unique perspective of a kayak. We are a Staten Island kayaking resource and we want to nurture a skilled, active kayaking community cent",,Staten Island,kayakstatenisland@gmail.com,Kayak Staten Island,,NY,10 Bay Street Landing 5L,,11,Other,http://kayakstatenisland.org,10301,80-100%,20452,,,Civic,Waterfront / Beach / Shoreline,MANAGE,1,2008,1,1
CANAL SOCIETY OF NJ,,,,,,,,,,,,,,,,,,,,,20142,,,Civic,,,,,1,1
GRACE CHURCH BK HEIGHTS,,,,,,,,,,,,,,,,,,,,,20373,,,Civic,,,,,1,1
TOWN OF BEDFORD,,,,,,,,,,,,,,,,,,,,,20924,,,Government,,,,,1,1
MCCARREN PARK DOG RUN ASSN,,,,,,,,,,,,,,,,,,,,,20520,,,Civic,,,,,1,1
PS M 217- ROOSEVELT ISLAND SCHOOL,,,,,,,,,,,,,,,,,,,,,8817,,,School,,,,,1,1
EASTSIDE OUTSIDE COMMUNITY GARDEN,,,,"East 11th street between 1st Ave and Ave A.  North side of street, closer to 1st Ave, approx 415 E 11th street but there is no official address",Environment,Yes,Maintain community participation in the public community garden space with a community based compost program.,,New York,eastsideoutsidegarden@gmail.com,East Side Outside Community Garden,917-612-4782,NY,407 E 12th St #1RSE,,11,Public-private partnership,http://reclaimedorganics.org/garden,10009,80-100%,103614,,,Civic,Community Garden,MANAGE,1,2015,1,1
MAKE THE ROAD NY,,,,"Grove St. Farm, corner of Grove St and Myrtle Ave","Legal services, civil rights",Yes,"MRNY builds the power of Latino and working class communities to achieve dignity and justice through organizing, policy innovation, transformative education and survival services.",,Brooklyn,,Make the Road NY,,NY,301 Grove St,@MakeTheRoadNY,1,501(c)(3) (or has applied),http://Maketheroadny.org,11237,1-19%,101137,,,Civic,Community Garden,MANAGE,1,,1,1
CARE FOR CORONA,,,,,,,,,,,,,,,,,,,,,20146,,,Civic,,,,,1,1
CIVICS THROUGH THE ARTS AFTER SCHOOL PROGRAM,,,,,,,,,,,,,,,,,,,,,103201,,,School,,,,,1,1
NYC CITY COUNCIL- BEN KALLOS,,,,,,,,,,,,,,,,,,,,,20614,,,Government,,,,,1,1
CITY OF KINGSTON,,,,,,,,,,,,,,,,,,,,,20188,,,Government,,,,,2,2
FRIENDS OF WALTON PARK,,,,,,,,,,,,,,,,,,,,,103993,,,Civic,,,,,1,1
OPEN SPACE GALLERY PROJECT,,,,,,,,,,,,,,,,,,,,,20719,,,Civic,,,,,1,1
DEWITT CLINTON DOG RUN,,,,,,,,,,,,,,,,,,,,,20235,,,Civic,,,,,1,1
RAUSCHENBUSCH METRO MINISTRIES,,,,,,,,,,,,,,,,,,,,,106746,,,School,,,,,1,1
FRIENDS OF ROY WILKINS PARK,,,,,,,,,,,,,,,,,,,,,1522,,,Civic,,,,,1,1
ST JOHNS UNIVERSITY,,,,,,,,,,,,,,,,,,,,,7948,,,Civic,,,,,2,2
HUDSON RIVER SLOOP CLEARWATER,,,,,,,,,,,,,,,,,,,,,100969,,,Civic,,,,,3,3
NORTHAMPTON COUNTY,,,,,,,,,,,,,,,,,,,,,31096,,,Government,,,,,1,1
CLASSIC HARBOR LINE,,,,,,,,,,,,,,,,,,,,,20194,,,Civic,,,,,1,1
FRIENDS OF MEMORIAL CIRCLE,,,,Rockaway Beach Boulevard between 120 and 121 Streets,Community improvement and capacity building,Yes,To ensure the Veterans Memorial is maintained and beautified each year.,,Rockaway Park,,Friends of Memorial Circle,,NY,122-15 Beach Channel Drive,,1,501(c)(3) (or has applied),,11694,80-100%,1202,,,Civic,Park,MANAGE,1,1990,0,0
PEACE ACTION SI,,,,,,,,,,,,,,,,,,,,,106299,,,Civic,,,,,1,1
NEIGHBORHOOD NEIGHBORS,,,,"Edgecombe Avenue between 149th and 148th Streets, New York, NY",Community improvement and capacity building,Yes,Neighborhood Neighbors was developed by people interested in creating and maintaining a pleasant and safe community though greening spaces. How motto is simple.  Good neighbors make great neighborhoods.,,New York,neighborhood.neighbors@gmail.com,Neighborhood Neighbors,917-622-6338,NY,"400 West 150th Street, #52",,3,Group without 501(c)(3) or 501(c)(4) status,,10031,1-19%,1343,,,Civic,Community Garden,MANAGE,1,1996,0,0
CENYC,,,,,,,,,,,,,,,,,,,,,1121,,,Civic,,,,,1,1
NYC LANDMARKS 50,,,,,,,,,,,,,,,,,,,,,20649,,,Civic,,,,,1,1
SUEZ WATER,,,,,,,,,,,,,,,,,,,,,20895,,,Business,,,,,2,2
BRONX IS BLOOMING,,,,,,,,,,,,,,,,,,,,,100306,,,Civic,,,,,1,1
PS BK 90,,,,,,,,,,,,,,,,,,,,,4828,,,School,,,,,1,1
ST. NICKS ALLIANCE,,,,,,,,,,,,,,,,,,,,,101798,,,Civic,,,,,3,3
PS BK 303,,,,,,,,,,,,,,,,,,,,,20752,,,School,,,,,1,1
EAST RIVER CREW,,,,"The East River Esplanade at East 96th Street, Manhattan, a shipping container/ boathouse by neighboring Stanley Isaacs Park, and (via two 25-foot open water rowing boats) throughout the Manhattan, Bronx, Queens, and Brooklyn waterfronts.",Environment,Yes,"East River C.R.E.W. seeks to impart a love for, and an understanding of, the waters of the East River community of New York City. Through educational and recreational activities, we will promote the stewardship of our waters.

The community will be able",,New York,ercrew96@gmail.com,"East River CREW, Inc.",212-427-3956,NY,"1309 Fifth Avenue, 9D",,1,501(c)(3) (or has applied),http://eastrivercrew.org,10029,60-79%,100529,,,Civic,Waterfront / Beach / Shoreline,,1,1999,0,0
INTERSTATE ENVIRONMENTAL COMMISSION,,,,,,,,,,,,,,,,,,,,,20428,,,Civic,,,,,1,1
NYC DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12
CARNEGIE HILL CSA,,,,"We are a community supported agriculture (CSA) group located at the corner of 90th St and Fifth Ave. The farm where our produce is grown is located in South Cairo, NY. We also work with a network of farmers in NY and VT to source sustainably-raised dairy",Food,Yes,"1. Provide members with fresh, organic vegetables and herbs weekly from mid-June through Thanksgiving. Local residents partner with Stoneledge Farm in South Cairo, NY, who sell shares in their harvest. CSA members purchase a share for the growing season",,New York,info90csa@gmail.com,Carnegie Hill CSA,None,NY,"235 E 87th Street, Apt. 3D",,3,Group without 501(c)(3) or 501(c)(4) status,http://carnegiehillcsa.org/,10128,1-19%,2646,,,Civic,"Food system (e.g. grocery stores, CSA, compost site)",PARTICIPATE/PARTNER/SUPPORT,1,1996,0,0
LAND TRUSTS,,,,,,,,,,,,,,,,,,,,,20470,,,Civic,,,,,1,1
RED HOOK CONSERVANCY,,,,,,,,,,,,,,,,,,,,,101609,,,Civic,,,,,3,3
TRANQUILITY FARMS,,,,,,,,,,,,,,,,,,,,,20952,,,Civic,,,,,1,1
SUNSET PARK CSA,,,,All of sunset park.  36th street to 64th street. 1st ave to 8th ave.,Food,Yes,"The amazing farmers at Mimomex Farms (Martin and Gaudencia) grow fresh, local, and organic vegetables in Goshen, New York (90 miles away from NYC).
The amazing egg farmer from Tello Farms (Nestor Tello) raises chickens in Red Hook, New York (130 miles fr",,Brooklyn,sunsetparkcsa@gmail.com,Sunset Park CSA,347-460-1477,NY,"443 39th STreet, 3rd Floor (ATTN: Jen Wittlin)",,3,Group without 501(c)(3) or 501(c)(4) status,http://sunsetparkcsa.org,11232,80-100%,107244,,,Civic,Other,PARTICIPATE/PARTNER/SUPPORT,1,2011,0,0
TNY,,,,"We work in all 5 Boroughs of New York City. 

Specific locations we have focused on in the last year:

Greenpoint Brooklyn, north of a line running from roughly N. 14th St. at Bushwick inlet to Maspeth Ave. and Newtown Creek.

Western Queens, all areas w",Environment,Yes,"Trees New YorkΓÇÖs mission is to plant, preserve and protect New York CityΓÇÖs urban forest through education and community participation.",,New York,info@treesny.org,Trees New York,212-227-188,NY,100 Gold St. Ste 3100,treesnewyork,1,501(c)(3) (or has applied),http://treesny.org,10038,80-100%,101956,,,Civic,Street tree,MANAGE,1,1976,0,0
ARTS EAST NY,,,,,,,,,,,,,,,,,,,,,102502,,,Civic,,,,,1,1
CENTER FOR ALGONQUIN CULTURE,,,,,,,,,,,,,,,,,,,,,107373,,,Civic,,,,,1,1
FRIENDS OF DOWNTOWN PARKS NYC/ GREEN BELOW 14,,,,"Downtown Manhattan, especially below 14th Street although also including areas like Chelsea.",Community improvement and capacity building,Yes,"Green Below 14 works to improve parks, playgrounds and open space in downtown Manhattan, especially below 14th street.",,New York,info@greenbelow14.org,"Friends of Downtown Parks NYC, Inc. DBA Green Below 14",917-843-4882,NY,"632 Broadway, Suite #902",@greenbelow14,1,501(c)(3) (or has applied),http://greenbelow14.org,10012,80-100%,461974668,,,Civic,Park,ADVOCATE,1,2013,0,0
HUDSON RIVER FOUNDATION,,,,,,,,,,,,,,,,,,,,,1272,,,Civic,,,,,6,6
ARCADIA POWER,,,,,,,,,,,,,,,,,,,,,20045,,,Business,,,,,1,1
CENTER FOR AN URBAN FUTURE,,,,,,,,,,,,,,,,,,,,,100401,,,Civic,,,,,2,2
MERCY HOME FOR CHILDREN,,,,"Courtyard with a greenhouse located between 273 Willoughby Avenue, 249 Classon Avenue, and Taffee Place. We also have a Plant-Grow-Give program at two primary sites: 15 elevated garden boxes at Keating Residence, 137-21 Brookville Boulevard, Rosedale, NY","Human services (including day-care, family services)",Yes,Mercy HomeΓÇÖs mission is to ensure the quality of life for persons with developmental disabilities through the recognition of each personΓÇÖs inherent dignity and right to a life filled with learning and love. Our mission is fulfilled in practice throug,,Brooklyn,info@mercyhomeny.org,Mercy Home for Children,718-832-1075,NY,273 Willoughby Avenue,_MercyHome_,1,501(c)(3) (or has applied),http://mercyhomeny.org,11205,1-19%,104606,,,Civic,Community Garden,MANAGE,1,1862,0,0
AMERICAN RHODODENDRON SOCIETY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
NYC URBAN SKETCHERS,,,,,,,,,,,,,,,,,,,,,20676,,,Civic,,,,,1,1
HC2,,,,,,,,,,,,,,,,,,,,,20394,,,Civic,,,,,1,1
LONG ISLAND BEACH BUGGY ASSOC,,,,,,,,,,,,,,,,,,,,,112519133,,,Civic,,,,,1,1
X342,,,,,,,,,,,,,,,,,,,,,21041,,,Civic,,,,,1,1
SAW MILL RIVER AUDUBON,,,,Northern Westchester County,Recreation and sports (including birding and fishing),Yes,"To maintain environmental quality for all living things by protecting natural ecosystems through education, advocacy and habitat conservation with a focus on Westchester County, New York and by connecting people to nature.",,Chappaqua,office@sawmillriveraudubon.org,Saw Mill River Audubon,914-666-6503,NY,275 Millwood Road,,1,501(c)(3) (or has applied),http://sawmillriveraudubon.org,10514,20-39%,136161411,,,Civic,Forest / Woodland,CONSERVE,1,1953,0,0
GREATER JAMAICA DC,,,,,,,,,,,,,,,,,,,,,3640,,,Civic,,,,,2,2
SOUTH MOUNTAIN CONSERVANCY,,,,"South Mountain Reservation
www.google.com/maps/place/South+Mountain+Reservation/@40.7388655,-74.2831149,12.57z/data=!4m5!3m4!1s0x89c3ac128a076313:0x7bf38cd5c0404ebb!8m2!3d40.747196!4d-74.293043
2,110-acre regional park in Essex County, parts of the towns",Environment,Yes,"Through volunteer activities, public programs and partnership with the Essex County Parks Department, the South Mountain Conservancy serves as a steward and advocate for the 2,110-acre South Mountain Reservation in order to preserve, protect, and enhance",,South Orange,info@somocon.org,South Mountain Conservancy,844-766-6266,NJ,P.O. Box 273,,1,501(c)(3) (or has applied),http://somocon.org,7079,80-100%,562410919,,,Civic,Forest / Woodland,MANAGE,1,2000,0,0
FRIENDS OF HACKENSACK RIVER GREENWAY THROUGH TEANECK,,,,"We operate in Teaneck Park - Lands of Terhune Park, Riverside Trail, Camperdown Park Andreas Park and Brett Park along the Greenway established along the Hackensack River. We are in Google Maps. I enclose one of our maps.",Environment,Yes,"Please see ""Mission"" in map (enclosed).",,Teaneck,info@teaneckgreenway.org,The Friends of the Hackensack River Greenway Through Teaneck,,NJ,P.O. Box 3028,,1,501(c)(3) (or has applied),http://teaneckgreenway.org,07666-3028,80-100%,223643193,,,Civic,Waterfront / Beach / Shoreline,CONSERVE,1,2000,0,0
ASSN TO BENEFIT CHILDREN,,,,,,Yes,,,New York,abc@a-b-c.org,Association to Benefit Children,212-845-3821,NY,419 East 86th Street,,1,501(c)(3) (or has applied),http://a-b-c.org,10028,,100184,,,Civic,,EDUCATE,1,,1,1
GREATER FLUSHING CHAMBER OF COMMERCE,,,,"Flushing, Queens",Economic development,Yes,"The Greater Flushing Chamber of Commerce seeks to foster the economic growth, inclusive diversity, and shared prosperity of greater Flushing through advocacy, networking, and education.",,,,Greater Flushing Chamber of Commerce,,,,greaterflushing,1,501(c)(3) (or has applied),http://flushingchamber.nyc,,1-19%,104155,,,Civic,"Public Right of Way (Sidewalk, street ends, traffic island, public plaza)",ADVOCATE,1,2014,0,0
PS M 64,,,,,,,,,,,,,,,,,,,,,105885,,,School,,,,,1,1
COLER HOSPITAL,,,,,,,,,,,,,,,,,,,,,20202,,,Civic,,,,,1,1
FORT HALE PARK,,,,,,,,,,,,,,,,,,,,,20290,,,Civic,,,,,1,1
SARAH LAWRENCE COLLEGE,,,,,,,,,,,,,,,,,,,,,101690,,,Civic,,,,,2,2
ENCHANTED GARDEN,,,,"On the once JFK High School campus.  Located on Tibbetts Avenue south of West 230 Street, adjacent to In-Tech HS campus, 2975 Tibbetts Avenue,  Bronx, NY 10463
Approximately 3/4 acre. 
Block 2215 and Lot 80
Fenced in garden.",Environment,Yes,,,Bronx,,The Enchanted Garden,,NY,"Bronx Theater High School,  99 Terrace View Avenue",,4,School-affiliated group,,10463,60-79%,1291,,,Civic,Community Garden,MANAGE,1,1995,0,0
CHESAPEAKE LIGHT CRAFT,,,,,,,,,,,,,,,,,,,,,20170,,,Civic,,,,,1,1
FRIENDS OF ST MARKS CHILDRENS PARK,,,,"St. Marks Ave between Kingston & Albany Avenues, 11213",Community improvement and capacity building,Yes,"The mission of Friends of St. Marks Children's Park is to use the resources of various city and private agencies to empower the under resourced community of Crown Heights, Brooklyn. The neighborhood, and the 900 block of St. Marks Avenue continue to be a",,Brooklyn,friendsofstmarkschildrenspark@gmail.com,Friends of St. Mark's Childrens Park,,NY,943 Saint Marks Ave,StMarkParkBK,3,Group without 501(c)(3) or 501(c)(4) status,,11213,20-39%,100766,,,Civic,Playground,MANAGE,1,2012,0,0
CITY OF JERSEY CITY,,,,,,,,,,,,,,,,,,,,,20187,,,Government,,,,,1,1
DEWITT CLINTON PARK CONSERVANCY,,,,,,,,,,,,,,,,,,,,,20236,,,Civic,,,,,1,1
JEWISH COMMUNITY CENTER OF SI,,,,,,,,,,,,,,,,,,,,,101819,,,Civic,,,,,0,0
HANDS THAT MAKE A DIFFERENCE,,,,West 153rd Between St. Nicholas and St. Nicholas Place,Youth,Yes,"Provide safe haven for youth to educate, and explore alternative recreational activities including anti violence initiatives and job readiness programs",,New York,info@handsthatmakeadifference.org,Hands That Make A Difference,646-922-7997,NY,2821 Frederick Douglass Blvd,,1,501(c)(3) (or has applied),http://handsthatmakeadifference.org,10039,20-39%,104238,,,Civic,Community Garden,PARTICIPATE/PARTNER/SUPPORT,1,2011,0,0
HYDE PARK COMMUNITY GARDEN,,,,"Hyde Park Food Pantry
Hyde Park Meals on Wheels
Gail Webster Transitional Housing Shelter in Poughkeepsie, NY",Food,Yes,"We have two objectives at the Hyde Park Community Garden:

1. To grow and donate assorted organic vegetables for the Hyde Park Food Pantry, Hyde Park Meals on Wheels and Gail Webster Transitional Housing Shelter in Poughkeepsie, NY.
2. To allow local res",,Hyde Park,office@stjameshydepark.org,Hyde Park Community Garden,845-229-2820,NY,4526 Albany Post Road,,1,501(c)(3) (or has applied),http://stjameshydepark.org,12538,20-39%,104426,,,Civic,Community Garden,TRANSFORM,1,2012,0,0
KINGSTON LAND TRUST,,,,,,,,,,,,,,,,,,,,,31034,,,Civic,,,,,0,0
DONATENYC,,,,,,,,,,,,,,,,,,,,,20241,,,Civic,,,,,2,2
BADE STAGEBERG COX,,,,,,,,,,,,,,,,,,,,,102566,,,Civic,,,,,1,1
PS BK 782- BED STUY NEW BEGINNINGS CHARTER SCHOOL,,,,,,,,,,,,,,,,,,,,,20756,,,School,,,,,1,1
UNIVERSITY SETTLEMENT HOUSE,,,,,,,,,,,,,,,,,,,,,20970,,,Civic,,,,,1,1
GODDARD GREEN KEEPERS,,,,"Columbus Avenue between 86th to 96th Streets
Broadway between 70th to 96th Street
Amsterdam between 88th to 89th Street
East 86th Street from Lexington to 1st Avenue
Senior resident garden at 88th Street
West End Avenue 95th to 96th Street (Tree wells)",Environment,Yes,"The mission of Goddard Riverside 's Green Keepers is to provide high-quality horticultural services , 
while at the same time providing formerly homeless adults living with mental illness  with opportunities 
for stable part-time employment.",,New York,greenkeepers@goddard.org,Green Keepers,646-505-1088,NY,61 West 87th Street,,1,501(c)(3) (or has applied),http://goddard.org,10024,80-100%,104109,,,Civic,Street tree,MANAGE,1,1997,0,0
ACADEMY OF HOSPITALITY AND TOURISM,,,,911 Flatbush Avenue (inner courtyard),Youth,Yes,"Academic Integrity, high expectations, optimally sounded tenacity. We are sturing do achieve success through innovation.",,Brooklyn,smiller18@schools.nyc.gov,Academy of Hosptiality + Tourism,718-564-2580,NY,911 Flatbush Avenue,,4,School-affiliated group,http://aohterasmus.org,11226,1-19%,102288,,,Civic,School yard / Outdoor classroom,TRANSFORM,1,2017,0,0
BED-STUY COMMUNITY COALITION,,,,"The Bedford-Stuyvesant region, including Fort Green and Crown Heights",Community improvement and capacity building,Yes,"The Bed-Stuy Community Coalition team brings a broad organizational, strategic and production skillset that most communities and organizations can benefit from, which is our strongest asset. We are dedicated to the enhancement of public greenspaces to be",,Brooklyn,s6kmedia@gmail.com,Bed-Stuy Community Coalition,917-723-7281,NY,309 Halsey St.,,11,Other,http://www.s6k.com/page.cfm?id=97791063,11216,40-59%,101855,,,Civic,Other,MANAGE,1,2014,0,0
COMMUNITY ADVISORY BOARD FOR FLUSHING MEADOWS CORONA PARK,,,,Our organization is exclusively focused representing the community of park users of Flushing Meadows Corona Park.,Community improvement and capacity building,Yes,"The Community Advisory Board (CAB) for Flushing Meadows-Corona Park aims to develop and promote a sustainable, safe, healthy and thriving Flushing Meadows Corona Park by inspiring a culture of public stewardship and inclusivity for communities that use t",,Corona,fmcpacab@gmail.com,Community Advisory Board for Flushing Meadows Corona Park,,NY,"Queens Museum, Flushing Meadows Corona Park",@fmcp_cab,11,Other,,11368,20-39%,20207,,,Civic,Park,ADVOCATE,1,,0,0
CAERUS GROUP,,,,,,,,,,,,,,,,,,,,,102949,,,Civic,,,,,1,1
EARTH MATTER,,,,"Governors Island, New York, NY 11231
68th Street between 1st and 2nd Avenue, New York, NY, 10065
123rd between Amsterdam & Morningside, New York, NY, 10027",Other,Yes,Earth Matter NY seeks to reduce the organic waste misdirected into the garbage stream by encouraging neighbor participation and leadership in composting.,,New York,contact@earthmatter.org,Earth Matter NY,646-734-6151,NY,"179 Rivington Street, #4A",@earthmatterNY,1,501(c)(3) (or has applied),http://earthmatter.org/,10002,80-100%,100580,,,Civic,"Food system (e.g. grocery stores, CSA, compost site)",TRANSFORM,1,2009,3,3
NYC CITY COUNCIL- STEPHEN LEVIN,,,,,,,,,,,,,,,,,,,,,20635,,,Government,,,,,1,1
NYC CITY COUNCIL- JAMES VACCA,,,,,,,,,,,,,,,,,,,,,20625,,,Government,,,,,1,1
NO SPRAY COALITION,,,,,,,,,,,,,,,,,,,,,20590,,,Civic,,,,,1,1
WILDLIFE CONSERVATION- NY AQUARIUM,,,,,,,,,,,,,,,,,,,,,1350,,,Civic,,,,,1,1
RECYCLE-A-BICYLE,,,,,,,,,,,,,,,,,,,,,1440,,,Civic,,,,,1,1
CHAMBER OF COMMERCE- Q,,,,,,,,,,,,,,,,,,,,,7903,,,Civic,,,,,1,1
REFORMED CHURCH ON SI,,,,,,,,,,,,,,,,,,,,,20803,,,Civic,,,,,1,1
